question,color,date
1,#00c3ff,Wed Dec 21 2022 05:30:04 GMT+0200 (за східноєвропейським стандартним часом)
1,#ff0087,Wed Dec 21 2022 05:30:15 GMT+0200 (за східноєвропейським стандартним часом)
1,#4800ff,Wed Dec 21 2022 05:32:58 GMT+0200 (за східноєвропейським стандартним часом)
2,#ffbf00,Wed Dec 21 2022 05:33:00 GMT+0200 (за східноєвропейським стандартним часом)
3,#ff0087,Wed Dec 21 2022 05:33:02 GMT+0200 (за східноєвропейським стандартним часом)
4,#83ff00,Wed Dec 21 2022 05:33:04 GMT+0200 (за східноєвропейським стандартним часом)
5,#00c3ff,Wed Dec 21 2022 05:33:08 GMT+0200 (за східноєвропейським стандартним часом)
6,#00ff8b,Wed Dec 21 2022 05:33:11 GMT+0200 (за східноєвропейським стандартним часом)
7,#ff0020,Wed Dec 21 2022 05:33:15 GMT+0200 (за східноєвропейським стандартним часом)
8,#0083ff,Wed Dec 21 2022 05:33:17 GMT+0200 (за східноєвропейським стандартним часом)